PassengerRank,AirportCode,AirportName,City,State,AverageFare,InflationAdjustedAverageFare,Passengers,
237,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,419.40,419.40,2935.00,
238,ISN,Sloulin Field International,Williston,ND,632.21,632.21,2910.00,
239,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,448.40,448.40,2856.00,
240,COU,Columbia Regional,Columbia,MO,474.27,474.27,2846.00,
241,PVU,Provo Municipal,Provo,UT,81.28,81.28,2836.00,
242,YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,75.03,75.03,2803.00,
243,JQF,Concord Regional,Cabarrus,NC,79.32,79.32,2787.00,
244,YUM,Yuma MCAS/Yuma International,Yuma,AZ,468.58,468.58,2709.00,
245,ACT,Waco Regional,Waco,TX,473.08,473.08,2684.00,
246,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,535.08,535.08,2634.00,
247,BET,Bethel Airport,Bethel,AK,389.40,389.40,2579.00,
248,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,452.69,452.69,2547.00,
249,TYR,Tyler Pounds Regional,Tyler,TX,492.45,492.45,2539.00,
250,EAT,Pangborn Memorial,Wenatchee,WA,357.72,357.72,2524.00,
251,MTJ,Montrose Regional,Montrose/Delta,CO,564.57,564.57,2483.00,
252,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,479.63,479.63,2475.00,
253,ACV,Arcata,Arcata/Eureka,CA,629.71,629.71,2441.00,
254,SIT,Sitka Rocky Gutierrez,Sitka,AK,376.26,376.26,2412.00,
255,ACK,Nantucket Memorial,Nantucket,MA,312.62,312.62,2392.00,
256,EGE,Eagle County Regional,Eagle,CO,666.54,666.54,2355.00,
257,FLG,Flagstaff Pulliam,Flagstaff,AZ,454.68,454.68,2309.00,
258,FLO,Florence Regional,Florence,SC,394.17,394.17,2291.00,
259,LCH,Lake Charles Regional,Lake Charles,LA,532.95,532.95,2257.00,
260,PUW,Pullman Moscow Regional,Pullman,WA,374.90,374.90,2238.00,
261,PGV,Pitt Greenville,Greenville,NC,447.65,447.65,2212.00,
262,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,488.49,488.49,2087.00,
263,SCC,Deadhorse Airport,Deadhorse,AK,452.70,452.70,2065.00,
264,GUM,Guam International,Guam,TT,1567.14,1567.14,2029.00,
265,PSM,Portsmouth International at Pease,Portsmouth,NH,109.32,109.32,1933.00,
266,ALW,Walla Walla Regional,Walla Walla,WA,348.36,348.36,1894.00,
267,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,415.39,415.39,1862.00,
268,MQT,Sawyer International,Marquette,MI,560.48,560.48,1828.00,
269,DHN,Dothan Regional,Dothan,AL,693.34,693.34,1780.00,
270,VLD,Valdosta Regional,Valdosta,GA,619.56,619.56,1778.00,
271,ROW,Roswell International Air Center,Roswell,NM,476.68,476.68,1765.00,
272,ADQ,Kodiak Airport,Kodiak,AK,564.38,564.38,1719.00,
273,PIH,Pocatello Regional,Pocatello,ID,546.32,546.32,1685.00,
274,DBQ,Dubuque Regional,Dubuque,IA,454.83,454.83,1635.00,
275,RDD,Redding Municipal,Redding,CA,430.40,430.40,1633.00,
276,SAF,Santa Fe Municipal,Santa Fe,NM,517.40,517.40,1602.00,
277,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,326.70,326.70,1584.00,
278,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,582.82,582.82,1553.00,
279,TXK,Texarkana Regional-Webb Field,Texarkana,AR,482.58,482.58,1546.00,
280,COD,Yellowstone Regional,Cody,WY,437.16,437.16,1495.00,
281,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,306.43,306.43,1433.00,
282,GTR,Golden Triangle Regional,Columbus,MS,598.00,598.00,1422.00,
282,HDN,Yampa Valley,Hayden,CO,620.21,620.21,1422.00,
284,UST,Northeast Florida Regional,St. Augustine,FL,113.23,113.23,1416.00,
285,SUX,Sioux Gateway/Col. Bud Day Field,Sioux City,IA,421.46,421.46,1397.00,
286,CSG,Columbus Airport,Columbus,GA,555.38,555.38,1374.00,
287,ABY,Southwest Georgia Regional,Albany,GA,584.05,584.05,1357.00,
288,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,73.94,73.94,1339.00,
289,PPG,Pago Pago International,Pago Pago,TT,1183.91,1183.91,1338.00,
290,OTZ,Ralph Wien Memorial,Kotzebue,AK,450.07,450.07,1322.00,
291,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,469.97,469.97,1307.00,
292,OME,Nome Airport,Nome,AK,465.15,465.15,1281.00,
293,JLN,Joplin Regional,Joplin,MO,467.36,467.36,1254.00,
294,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,418.06,418.06,1217.00,
295,GCK,Garden City Regional,Garden City,KS,421.39,421.39,1203.00,
296,GCC,Gillette Campbell County,Gillette,WY,552.95,552.95,1188.00,
297,ALO,Waterloo Regional,Waterloo,IA,421.12,421.12,1181.00,
298,ABR,Aberdeen Regional,Aberdeen,SD,627.95,627.95,1178.00,
299,BQK,Brunswick Golden Isles,Brunswick,GA,536.88,536.88,1155.00,
300,HVN,Tweed New Haven,New Haven,CT,378.69,378.69,1115.00,
301,BJI,Bemidji Regional,Bemidji,MN,598.69,598.69,1098.00,
302,BTM,Bert Mooney,Butte,MT,501.05,501.05,1089.00,
303,CMX,Houghton County Memorial,Hancock/Houghton,MI,540.80,540.80,1052.00,
304,STC,St. Cloud Regional,St. Cloud,MN,93.87,93.87,1041.00,
305,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,156.41,156.41,1018.00,
306,DUT,Unalaska Airport,Unalaska,AK,977.21,977.21,1010.00,
307,GGG,East Texas Regional,Longview,TX,410.04,410.04,992.00,
308,OWB,Owensboro Daviess County,Owensboro,KY,116.29,116.29,916.00,
309,EAU,Chippewa Valley Regional,Eau Claire,WI,400.12,400.12,909.00,
310,BRD,Brainerd Lakes Regional,Brainerd,MN,625.68,625.68,906.00,
311,CIU,Chippewa County International,Sault Ste. Marie,MI,521.50,521.50,905.00,
312,IPT,Williamsport Regional,Williamsport,PA,455.41,455.41,904.00,
313,PAH,Barkley Regional,Paducah,KY,425.28,425.28,898.00,
314,MKG,Muskegon County,Muskegon,MI,374.71,374.71,879.00,
315,ART,Watertown International,Watertown,NY,487.71,487.71,840.00,
316,HHH,Hilton Head Airport,Hilton Head,SC,425.66,425.66,821.00,
317,MEI,Key Field,Meridian,MS,497.22,497.22,820.00,
